|DIGNIDAD_CODIGO|DIGNIDAD_NOMBRE|PROVINCIA_CODIGO|PROVINCIA_NOMBRE|CANTON_CODIGO|CANTON_NOMBRE|CIRCUNSCRIPCION_CODIGO|CICUNSCRIPCION_NOMBRE|CIRCUNSCRIPCION|PARROQUIA_CODIGO|PARROQUIA_NOMBRE|JUNTA_SEXO|CANDIDATO_CODIGO|SUFRAGANTES|BLANCOS|NULOS|VOTOS|CANDIDATO_NOMBRE|OP_CODIGO
16491|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|495.0|PAJAN|0.0|0.0||2090.0|LASCANO|F|40946.0|1449.0|387.0|294.0|7.0|NOE INTRIAGO|12.0
16492|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|495.0|PAJAN|0.0|0.0||2090.0|LASCANO|M|40946.0|1738.0|572.0|284.0|9.0|NOE INTRIAGO|12.0
16493|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|495.0|PAJAN|0.0|0.0||5755.0|PAJAN|F|40946.0|7438.0|1443.0|1305.0|43.0|NOE INTRIAGO|12.0
16494|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|495.0|PAJAN|0.0|0.0||5755.0|PAJAN|M|40946.0|8072.0|1768.0|1307.0|81.0|NOE INTRIAGO|12.0
16495|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|500.0|EL CARMEN|0.0|0.0||1070.0|WILFRIDO LOOR MOREIRA|F|40946.0|727.0|174.0|107.0|4.0|NOE INTRIAGO|12.0
16496|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|500.0|EL CARMEN|0.0|0.0||1070.0|WILFRIDO LOOR MOREIRA|M|40946.0|759.0|209.0|159.0|5.0|NOE INTRIAGO|12.0
16497|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|500.0|EL CARMEN|0.0|0.0||1980.0|SAN PEDRO DE SUMA|F|40946.0|1150.0|261.0|204.0|12.0|NOE INTRIAGO|12.0
16498|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|500.0|EL CARMEN|0.0|0.0||1980.0|SAN PEDRO DE SUMA|M|40946.0|1220.0|277.0|171.0|9.0|NOE INTRIAGO|12.0
16499|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|500.0|EL CARMEN|0.0|0.0||5300.0|EL CARMEN|F|40946.0|36154.0|6691.0|6617.0|180.0|NOE INTRIAGO|12.0
16500|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|500.0|EL CARMEN|0.0|0.0||5300.0|EL CARMEN|M|40946.0|37400.0|7903.0|6117.0|372.0|NOE INTRIAGO|12.0
16501|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|500.0|EL CARMEN|0.0|0.0||6195.0|4 DE DICIEMBRE|F|40946.0|1439.0|230.0|281.0|3.0|NOE INTRIAGO|12.0
16502|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|500.0|EL CARMEN|0.0|0.0||6195.0|4 DE DICIEMBRE|M|40946.0|1314.0|285.0|237.0|6.0|NOE INTRIAGO|12.0
16503|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|550.0|TOSAGUA|0.0|0.0||265.0|BACHILLERO|F|40946.0|1312.0|134.0|175.0|2.0|NOE INTRIAGO|12.0
16504|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|550.0|TOSAGUA|0.0|0.0||265.0|BACHILLERO|M|40946.0|1279.0|169.0|186.0|23.0|NOE INTRIAGO|12.0
